operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,0,0,4,,,,,['space'],[4.984156656777486],None,0,,,,,,,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,1,1,5,,,,,['space'],[14.914928432903253],1,0,3.28506280704,,,,,,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,2,2,3,,,,,['space'],[9.709497416988597],8,1,13.4639666599,,,,,,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,3,3,0,,,,,['space'],[5.7889303964038845],5,0,6.27802535141,,,,,,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,4,4,1,,,,,['space'],[7.375264811387751],3,0,5.15802212115,,,,,,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,5,5,2,,,,,['space'],[11.19895646092482],7,1,2.9516288702,,,,,,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,0,0,6,,,,,,space,12.7600445256,2,0,5.54144574099,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DIVIDE', 'INCREASE', 'DOUBLE', 'THIRD', 'x', 'y')",increase,4,"(2, 4, 5, 1)",1,1,5,6,double,DIVIDE,third,BUUUxy,,,,,0,1,1,11,,,,,,space,11.2683287463,1,1,4.95064713042,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'DIVIDE', 'DECREASE', 'x', 'y')",triple,4,"(8, 1, 3, 6)",6,6,8,9,DIVIDE,double,decrease,UUBUxy,,,,,0,2,2,15,,,,,,space,8.26266381008,6,1,6.29411643933,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(1, 2)",2,2,7,8,0,double,0,UBxy,,,,,0,3,3,2,,,,,,space,3.02743806981,2,1,2.66361913287,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('ADD', 'THIRD', 'INCREASE', 'HALF', 'x', 'y')",third,4,"(2, 3, 1, 7)",7,7,6,4,increase,ADD,half,BUUUxy,,,,,0,4,4,10,,,,,,space,7.8931867807,7,1,6.4389492339,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,5,5,9,,,,,,space,3.7338085652,6,1,5.20734864219,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,6,6,13,,,,,,space,4.77057333398,7,1,5.22425721925,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'DIVIDE', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,8,triple,decrease,DIVIDE,UUUBxy,,,,,0,7,7,16,,,,,,space,11.2345588142,1,0,7.87850345766,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,8,8,14,,,,,,space,9.78286852113,None,0,,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('SUBTRACT', 'HALF', 'TRIPLE', 'x', 'y')",half,3,"(12, 6, 2)",2,2,4,4,triple,SUBTRACT,0,BUUxy,,,,,0,9,9,5,,,,,,space,7.89929793116,2,1,5.27032849786,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,10,10,3,,,,,,space,2.7075623391,8,1,2.2141910502,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'x', 'y')",double,2,"(12, 2)",2,2,6,6,0,DIVIDE,0,BUxy,,,,,0,11,11,1,,,,,,space,1.25458610036,2,1,1.97418253652,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,12,12,0,,,,,,space,1.15677860689,8,1,2.21441415731,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,13,13,17,,,,,,space,4.08872272198,4,1,6.66324956894,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,14,14,4,,,,,,space,2.03528925052,1,1,2.71052843196,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,15,15,12,,,,,,space,2.99867983545,9,1,7.14211068235,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('INCREASE', 'DIVIDE', 'THIRD', 'x', 'y')",DIVIDE,3,"(3, 1, 2)",2,2,3,9,third,increase,0,UBUxy,,,,,0,16,16,7,,,,,,space,1.33111047464,2,1,5.41108274365,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,17,17,8,,,,,,space,3.25415836432,8,1,1.97515674816,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'DOUBLE', 'x', 'y')",triple,4,"(6, 2, 6, 5)",5,5,3,3,DIVIDE,decrease,double,UUBUxy,,,,,0,0,0,14,,,,,,space,6.57701798168,5,1,5.79799053026,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'SUBTRACT', 'x', 'y')",triple,4,"(4, 2, 6, 5)",5,5,2,6,half,decrease,SUBTRACT,UUUBxy,,,,,0,1,1,16,,,,,,space,3.89078495724,5,1,5.03116895471,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,5,increase,TIMES,0,BUUxy,,,,,0,2,2,5,,,,,,space,1.86237643989,9,1,3.99270898242,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'DOUBLE', 'x', 'y')",triple,4,"(4, 3, 9, 1)",1,1,8,2,decrease,SUBTRACT,double,BUUUxy,,,,,0,3,3,11,,,,,,space,11.8620014009,1,1,3.95798502788,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",triple,4,"(1, 2, 6, 3)",3,3,2,3,increase,half,SUBTRACT,UUUBxy,,,,,0,4,4,17,,,,,,space,11.2852301374,3,1,6.27668191803,2015_Jul_16_1335,360.287380426,KRITL,001,31025,
