operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,0,0,4,,,,,['space'],[11.787319537586882],6,0,12.6462196552,,,,,,2017_Apr_14_0954,None,KRITL,001,31032,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,1,1,2,,,,,['space'],[6.602846033056267],7,1,6.46660782635,,,,,,2017_Apr_14_0954,None,KRITL,001,31032,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,2,2,0,,,,,['space'],[18.937661223229952],7,1,10.7292198536,,,,,,2017_Apr_14_0954,None,KRITL,001,31032,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,3,3,1,,,,,['space'],[7.901918528077658],6,0,10.6111002428,,,,,,2017_Apr_14_0954,None,KRITL,001,31032,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,4,4,3,,,,,['space'],[12.875922631748836],8,1,4.96037307376,,,,,,2017_Apr_14_0954,None,KRITL,001,31032,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,5,5,5,,,,,None,,None,0,,,,,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'x', 'y')",DIVIDE,3,"(6, 2, 3)",3,3,3,2,triple,increase,0,UBUxy,,,,,0,0,0,7,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'x', 'y')",triple,2,"(12, 9)",9,9,3,4,0,SUBTRACT,0,BUxy,,,,,0,1,1,1,,,,,,space,9,1,8.51689180323,10.7081934213,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('HALF', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(8, 16, 8)",8,8,2,9,decrease,half,0,UBUxy,,,,,0,2,2,6,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TRIPLE', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(16, 2, 3, 9)",9,9,8,8,DIVIDE,triple,double,UUBUxy,,,,,0,3,3,15,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DECREASE', 'THIRD', 'DOUBLE', 'ADD', 'x', 'y')",third,4,"(9, 18, 6, 5)",5,5,4,5,double,decrease,ADD,UUUBxy,,,,,0,4,4,16,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,3,ADD,triple,0,UUBxy,,,,,0,5,5,8,,,,,,space,9,1,3.50215349275,5.9045257469,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(1, 2, 6)",6,6,2,3,SUBTRACT,triple,0,UUBxy,,,,,0,6,6,9,,,,,,space,None,0,6.68147135331,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",double,4,"(5, 1, 2, 6)",6,6,4,4,SUBTRACT,triple,increase,UUBUxy,,,,,0,7,7,14,,,,,,space,None,0,19.7022003177,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'TIMES', 'x', 'y')",increase,4,"(28, 14, 15, 5)",5,5,4,7,half,third,TIMES,UUUBxy,,,,,0,8,8,17,,,,,,space,None,0,10.1374476763,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'TIMES', 'TRIPLE', 'HALF', 'x', 'y')",TIMES,4,"(1, 3, 6, 7)",7,7,2,2,triple,increase,half,UBUUxy,,,,,0,9,9,13,,,,,,space,5,0,14.1323354276,13.46648149,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(6, 18, 9)",9,9,2,7,decrease,DIVIDE,0,BUUxy,,,,,0,10,10,4,,,,,,space,None,0,9.21914811488,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'TRIPLE', 'x', 'y')",double,4,"(9, 10, 20, 5)",5,5,4,3,increase,DIVIDE,triple,BUUUxy,,,,,0,11,11,10,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'THIRD', 'x', 'y')",half,4,"(1, 2, 1, 9)",9,9,9,3,increase,TIMES,third,BUUUxy,,,,,0,12,12,11,,,,,,space,9,1,9.04680745183,19.3206445185,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",increase,3,"(4, 5, 3)",3,3,2,8,half,SUBTRACT,0,BUUxy,,,,,0,13,13,5,,,,,,space,4,0,10.0204832909,15.31562326,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('HALF', 'SUBTRACT', 'DECREASE', 'TRIPLE', 'x', 'y')",SUBTRACT,4,"(15, 14, 10, 5)",5,5,4,5,decrease,half,triple,UBUUxy,,,,,0,14,14,12,,,,,,space,None,0,12.5172333664,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(1, 2)",2,2,8,8,0,double,0,UBxy,,,,,0,15,15,2,,,,,,space,8,0,8.60052963287,7.59543663217,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('INCREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(4, 5)",5,5,2,8,0,increase,0,UBxy,,,,,0,16,16,3,,,,,,space,5,1,6.22704396331,7.77861072683,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('ADD', 'HALF', 'x', 'y')",half,2,"(2, 7)",7,7,5,4,0,ADD,0,BUxy,,,,,0,17,17,0,,,,,,space,7,1,9.83197437157,3.0761696351,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'DIVIDE', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,half,third,DIVIDE,UUUBxy,,,,,0,0,0,16,,,,,,space,4,0,13.3401132688,19.1242383509,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'TIMES', 'x', 'y')",decrease,4,"(6, 3, 2, 6)",6,6,2,3,half,triple,TIMES,UUUBxy,,,,,0,1,1,17,,,,,,None,None,0,,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'INCREASE', 'x', 'y')",double,4,"(10, 12, 24, 8)",8,8,2,9,ADD,third,increase,UUBUxy,,,,,0,2,2,14,,,,,,space,None,0,11.9163233245,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'ADD', 'x', 'y')",ADD,2,"(9, 3)",3,3,5,4,0,third,0,UBxy,,,,,0,3,3,2,,,,,,space,3,1,7.38818898382,8.10275486788,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TRIPLE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(2, 1, 3)",3,3,2,4,DIVIDE,triple,0,UUBxy,,,,,0,4,4,9,,,,,,space,3,1,11.9919809649,6.59701671175,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 1)",1,1,2,5,0,third,0,UBxy,,,,,0,5,5,3,,,,,,space,9,0,6.92962818959,4.39083189878,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'x', 'y')",decrease,3,"(25, 24, 8)",8,8,5,5,TIMES,third,0,UUBxy,,,,,0,6,6,8,,,,,,space,None,0,12.6592627485,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TIMES', 'DECREASE', 'x', 'y')",decrease,2,"(2, 4)",4,4,2,3,0,TIMES,0,BUxy,,,,,0,7,7,0,,,,,,space,1,0,5.67534106447,5.94192166375,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TIMES', 'INCREASE', 'x', 'y')",increase,2,"(3, 6)",6,6,2,2,0,TIMES,0,BUxy,,,,,0,8,8,1,,,,,,space,8,0,5.45926701804,2.32678495625,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('THIRD', 'ADD', 'INCREASE', 'x', 'y')",ADD,3,"(8, 15, 5)",5,5,7,7,increase,third,0,UBUxy,,,,,0,9,9,6,,,,,,space,7,0,8.59589613261,9.06248226129,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'DECREASE', 'x', 'y')",half,4,"(1, 4, 2, 6)",6,6,3,2,ADD,triple,decrease,UUBUxy,,,,,0,10,10,15,,,,,,space,None,0,16.9974666232,,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TIMES', 'THIRD', 'HALF', 'x', 'y')",third,3,"(3, 1, 5)",5,5,5,6,half,TIMES,0,BUUxy,,,,,0,11,11,5,,,,,,space,5,1,6.01117079523,4.59630138888,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",SUBTRACT,4,"(2, 4, 1, 3)",3,3,3,3,double,triple,decrease,UBUUxy,,,,,0,12,12,13,,,,,,space,3,1,12.7843287601,9.55391885985,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TIMES', 'INCREASE', 'THIRD', 'DOUBLE', 'x', 'y')",increase,4,"(6, 2, 3, 9)",9,9,3,3,third,TIMES,double,BUUUxy,,,,,0,13,13,11,,,,,,space,9,1,11.8430986218,9.15690662761,2017_Apr_14_0954,None,KRITL,001,31032,
,,,,,,,,"('TIMES', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(4, 3, 9)",9,9,3,8,half,TIMES,0,BUUxy,,,,,0,14,14,4,,,,,,space,3,0,9.84854508442,5.52270572618,2017_Apr_14_0954,None,KRITL,001,31032,
