operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,0,0,3,,,,,['space'],[11.046054683043621],8,1,18.8051679627,,,,,,2017_Apr_21_0938,None,KRITL,002,31043,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,1,1,5,,,,,['space'],[12.399490315001458],None,0,,,,,,,2017_Apr_21_0938,None,KRITL,002,31043,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,2,2,0,,,,,['space'],[8.045448198448867],7,1,2.4691002575,,,,,,2017_Apr_21_0938,None,KRITL,002,31043,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,3,3,4,,,,,['space'],[3.9786540522472933],4,0,3.44503230322,,,,,,2017_Apr_21_0938,None,KRITL,002,31043,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,4,4,1,,,,,['space'],[7.643455303274095],8,1,2.74131279951,,,,,,2017_Apr_21_0938,None,KRITL,002,31043,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,5,5,2,,,,,['space'],[6.793137310189195],7,1,2.10685957514,,,,,,2017_Apr_21_0938,None,KRITL,002,31043,
,,,,,,,,"('DOUBLE', 'ADD', 'INCREASE', 'THIRD', 'x', 'y')",ADD,4,"(1, 2, 4, 8)",8,8,2,3,increase,double,third,UBUUxy,,,,,0,0,0,12,,,,,,space,14.6452464103,6,0,9.80063000205,2017_Apr_21_0938,None,KRITL,002,31043,
,,,,,,,,"('INCREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 7)",7,7,3,6,DIVIDE,increase,0,UUBxy,,,,,0,1,1,8,,,,,,space,8.54594601982,7,1,3.60019401903,2017_Apr_21_0938,None,KRITL,002,31043,
,,,,,,,,"('THIRD', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 1)",1,1,3,3,ADD,third,0,UUBxy,,,,,0,2,2,9,,,,,,space,8.05139265733,6,0,10.6919992679,2017_Apr_21_0938,None,KRITL,002,31043,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'TRIPLE', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 18, 17, 8)",8,8,9,3,triple,SUBTRACT,double,BUUUxy,,,,,0,3,3,11,,,,,,space,8.32870449929,8,1,15.456309487,2017_Apr_21_0938,None,KRITL,002,31043,
