operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,0,0,2,,,,,['space'],[4.466661971993744],None,0,,,,,,,2017_May_12_0909,60.0001710472,KRITL,001,31053,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,1,1,0,,,,,['space'],[3.5500575052574277],7,1,4.20000678534,,,,,,2017_May_12_0909,60.0001710472,KRITL,001,31053,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,2,2,4,,,,,['space'],[1.7667735037393868],3,1,5.18336029444,,,,,,2017_May_12_0909,60.0001710472,KRITL,001,31053,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,3,3,3,,,,,['space'],[5.066648401319981],8,1,3.68336286023,,,,,,2017_May_12_0909,60.0001710472,KRITL,001,31053,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,4,4,5,,,,,['space'],[9.583209076430649],6,0,5.55002699932,,,,,,2017_May_12_0909,60.0001710472,KRITL,001,31053,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,5,5,1,,,,,['space'],[4.966654559131712],8,1,3.58335333783,,,,,,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('ADD', 'DECREASE', 'x', 'y')",decrease,2,"(2, 7)",7,7,5,3,0,ADD,0,BUxy,,,,,0,0,0,0,,,,,,space,3.11667112354,7,1,1.8834241,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('INCREASE', 'HALF', 'THIRD', 'TIMES', 'x', 'y')",half,4,"(12, 4, 2, 3)",3,3,4,3,third,increase,TIMES,UUUBxy,,,,,0,1,1,16,,,,,,space,4.78337779967,3,1,4.48335493449,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",SUBTRACT,3,"(4, 1, 2)",2,2,3,3,increase,double,0,UBUxy,,,,,0,2,2,6,,,,,,space,6.96663203649,2,1,4.06664783088,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('HALF', 'ADD', 'x', 'y')",ADD,2,"(12, 6)",6,6,8,4,0,half,0,UBxy,,,,,0,3,3,3,,,,,,space,2.3333942499,6,1,2.45008076914,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'SUBTRACT', 'DOUBLE', 'THIRD', 'x', 'y')",SUBTRACT,4,"(3, 6, 4, 3)",3,3,2,9,double,decrease,third,UBUUxy,,,,,0,4,4,13,,,,,,space,6.10003290046,3,1,10.5499061164,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",double,4,"(1, 3, 6, 5)",5,5,3,3,TIMES,decrease,third,UUBUxy,,,,,0,5,5,14,,,,,,space,4.88335710112,5,1,6.18333035894,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('HALF', 'INCREASE', 'TIMES', 'x', 'y')",increase,3,"(9, 10, 5)",5,5,3,3,TIMES,half,0,UUBxy,,,,,0,6,6,9,,,,,,space,2.26672988292,5,1,4.21671799431,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('ADD', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(2, 6, 8)",8,8,2,4,half,ADD,0,BUUxy,,,,,0,7,7,5,,,,,,space,2.36671773763,8,1,3.95005653566,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('THIRD', 'HALF', 'INCREASE', 'SUBTRACT', 'x', 'y')",half,4,"(5, 6, 3, 1)",1,1,2,7,increase,third,SUBTRACT,UUUBxy,,,,,0,8,8,17,,,,,,space,3.0666940175,1,1,5.45006679883,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'TRIPLE', 'SUBTRACT', 'DOUBLE', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,3,3,SUBTRACT,decrease,double,UUBUxy,,,,,0,9,9,15,,,,,,space,3.83337571844,8,1,4.1000309051,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(1, 2, 7)",7,7,5,2,decrease,ADD,0,BUUxy,,,,,0,10,10,4,,,,,,space,2.1333928816,7,1,2.88338732207,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(18, 6, 5, 9)",9,9,4,9,third,ADD,double,BUUUxy,,,,,0,11,11,10,,,,,,space,2.75004376331,9,1,4.20007207384,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DIVIDE', 'DECREASE', 'x', 'y')",decrease,2,"(8, 2)",2,2,4,9,0,DIVIDE,0,BUxy,,,,,0,12,12,1,,,,,,space,2.70004812535,2,1,1.36675023939,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DECREASE', 'ADD', 'THIRD', 'HALF', 'x', 'y')",ADD,4,"(3, 1, 7, 6)",6,6,6,6,third,decrease,half,UBUUxy,,,,,0,13,13,12,,,,,,space,2.03339248197,6,1,4.31669472996,2017_May_12_0909,60.0001710472,KRITL,001,31053,
,,,,,,,,"('DOUBLE', 'THIRD', 'ADD', 'x', 'y')",third,3,"(9, 3, 6)",6,6,4,5,ADD,double,0,UUBxy,,,,,0,14,14,8,,,,,,space,0.933426294941,6,1,2.7000777754,2017_May_12_0909,60.0001710472,KRITL,001,31053,
