operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,execution.keys,execution.corr,date,frameRate,expName,session,participant,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,0,0,0,,,,,None,7,1,3.85506523121,,,,2017_May_26_0923,None,KRITL,002,31057,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,1,1,5,,,,,None,8,0,11.4719541997,,,,2017_May_26_0923,None,KRITL,002,31057,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,2,2,2,,,,,None,3,0,3.31443023868,,,,2017_May_26_0923,None,KRITL,002,31057,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,3,3,1,,,,,None,8,1,2.6576305246,,,,2017_May_26_0923,None,KRITL,002,31057,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,4,4,4,,,,,None,3,1,5.28362131142,,,,2017_May_26_0923,None,KRITL,002,31057,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,5,5,3,,,,,None,8,1,4.73876927374,,,,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('THIRD', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 1)",1,1,2,5,0,third,0,UBxy,,,,,0,0,0,3,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('THIRD', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(3, 15, 5)",5,5,5,4,decrease,third,0,UBUxy,,,,,0,1,1,7,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'DIVIDE', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,half,third,DIVIDE,UUUBxy,,,,,0,2,2,16,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('TIMES', 'INCREASE', 'x', 'y')",increase,2,"(3, 6)",6,6,2,2,0,TIMES,0,BUxy,,,,,0,3,3,1,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('TIMES', 'DECREASE', 'x', 'y')",decrease,2,"(2, 4)",4,4,2,3,0,TIMES,0,BUxy,,,,,0,4,4,0,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'INCREASE', 'x', 'y')",double,4,"(10, 12, 24, 8)",8,8,2,9,ADD,third,increase,UUBUxy,,,,,0,5,5,14,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('TRIPLE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(2, 1, 3)",3,3,2,4,DIVIDE,triple,0,UUBxy,,,,,0,6,6,9,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",SUBTRACT,4,"(2, 4, 1, 3)",3,3,3,3,double,triple,decrease,UBUUxy,,,,,0,7,7,13,,,,,None,None,0,2017_May_26_0923,None,KRITL,002,31057,
