Length	Participant	Chunks	encoding.rt	LogEncoding	EncodingSpeed
1	Length = 2	31002	Chunks = 2	1.344738334225	0.289140841036734	0.75418145714356
2	Length = 3	31002	Chunks = 2	1.93412784747	0.656779471009143	0.52007486609013
3	Length = 4	31002	Chunks = 2	4.354154739995	1.46676071467862	0.231682056242342
4	Length = 2	31003	Chunks = 2	0.99734982332275	-0.00531398345039075	1.00799270530332
5	Length = 3	31003	Chunks = 2	1.8068864523	0.585154543309944	0.560530836423343
6	Length = 4	31003	Chunks = 2	2.852887416095	1.0475867127529	0.351044664038347
7	Length = 2	31004	Chunks = 2	0.70838310772525	-0.345116356883411	1.41264332779059
8	Length = 3	31004	Chunks = 2	1.0333593340725	0.0256579336653826	0.981835350026433
9	Length = 4	31004	Chunks = 2	1.962445416415	0.673086029578511	0.510695052163973
10	Length = 2	31005	Chunks = 2	2.5714128480675	0.944082841761947	0.389181678277405
11	Length = 3	31005	Chunks = 2	4.812774174515	1.57028643196471	0.2081905669165
12	Length = 4	31005	Chunks = 2	8.0419032273975	2.07876759314946	0.125788458862214
13	Length = 2	31006	Chunks = 2	1.39170028399	0.330508439547156	0.718571077443589
14	Length = 3	31006	Chunks = 2	2.15834192515	0.7652689233327	0.46709730577599
15	Length = 4	31006	Chunks = 2	2.83317467123	1.03931399332953	0.354404754761891
16	Length = 2	31007	Chunks = 2	1.5099796112	0.411554873912368	0.662976675215741
17	Length = 3	31007	Chunks = 2	3.916222272925	1.36219115057521	0.256835345434607
18	Length = 4	31007	Chunks = 2	5.06576700703	1.61907723114658	0.198760491229424
19	Length = 2	31008	Chunks = 2	1.2791804241275	0.242780106255939	0.787161231565987
20	Length = 3	31008	Chunks = 2	2.6373752589125	0.965126431632778	0.38273248604688
21	Length = 4	31008	Chunks = 2	3.50810819227	1.25482647494101	0.285196472464197
22	Length = 2	31009	Chunks = 2	1.09833781344	0.0924904588474856	0.912850680995702
23	Length = 3	31009	Chunks = 2	3.212395549015	1.16138096823819	0.314771001560881
24	Length = 4	31009	Chunks = 2	3.278104079845	1.18350582873276	0.307356666186943
25	Length = 2	31010	Chunks = 2	1.02555996444375	0.0205334782143594	0.984093418657791
26	Length = 3	31010	Chunks = 2	2.59238433971	0.950882570041158	0.387055775965951
27	Length = 4	31010	Chunks = 2	4.7934287478125	1.56720307881817	0.208636832955459
