Length	Participant	Chunks	Offset	encoding.rt	LogEncoding	EncodingSpeed
1	Length = 2	31002	Chunks = 2	1st	1.187457076835	0.171814038487992	0.842135824050025
2	Length = 3	31002	Chunks = 2	1st	1.81426635135	0.593775018650986	0.553292289068028
3	Length = 4	31002	Chunks = 2	1st	3.9483969021	1.37329212727207	0.253276220399219
4	Length = 2	31003	Chunks = 2	1st	1.06782023559	0.0653671030259606	0.936959895690346
5	Length = 3	31003	Chunks = 2	1st	1.664578850175	0.507308108765096	0.60347898016746
6	Length = 4	31003	Chunks = 2	1st	2.96296174458	1.08618935746522	0.337500138781491
7	Length = 2	31004	Chunks = 2	1st	0.716721593868	-0.333338073021699	1.3959962794476
8	Length = 3	31004	Chunks = 2	1st	0.916709754085	-0.0884538263708737	1.09411222291933
9	Length = 4	31004	Chunks = 2	1st	1.874955044785	0.628495809527622	0.533440929991966
10	Length = 2	31005	Chunks = 2	1st	2.57455044566	0.945674934664394	0.38841732609502
11	Length = 3	31005	Chunks = 2	1st	4.60194068749	1.52647686433972	0.217300166484498
12	Length = 4	31005	Chunks = 2	1st	7.78665876216	2.05241185415784	0.128424787902559
13	Length = 2	31006	Chunks = 2	1st	1.38339995203	0.324544202508909	0.722856754861529
14	Length = 3	31006	Chunks = 2	1st	2.349991085945	0.854184515331236	0.425726781808016
15	Length = 4	31006	Chunks = 2	1st	2.95813784303	1.08245788970301	0.339474713575516
16	Length = 2	31007	Chunks = 2	1st	1.46167195868	0.37958095768312	0.684148036131907
17	Length = 3	31007	Chunks = 2	1st	3.64140802414	1.29237042667183	0.274619046635449
18	Length = 4	31007	Chunks = 2	1st	4.653549439695	1.53755961252065	0.214920093890654
19	Length = 2	31008	Chunks = 2	1st	1.175018726355	0.161057813776839	0.8514354894985
20	Length = 3	31008	Chunks = 2	1st	2.84984360206	1.04616895539756	0.351665867417011
21	Length = 4	31008	Chunks = 2	1st	3.583143275305	1.27619713975307	0.279108731496198
22	Length = 2	31009	Chunks = 2	1st	1.04220874551	0.0413422548509763	0.959500679981969
23	Length = 3	31009	Chunks = 2	1st	3.52586090141	1.25842016526069	0.284587163862111
24	Length = 4	31009	Chunks = 2	1st	3.56181842425	1.27027120778209	0.280755468384261
25	Length = 2	31010	Chunks = 2	1st	1.0612596338595	0.0520880329475571	0.956265648576159
26	Length = 3	31010	Chunks = 2	1st	2.74297839461	1.00904433536958	0.364567217140688
27	Length = 4	31010	Chunks = 2	1st	4.83757788621	1.57641415873482	0.206715018036319
28	Length = 2	31011	Chunks = 2	1st	1.4356615389	0.360866155791197	0.697601981539257
29	Length = 3	31011	Chunks = 2	1st	3.04487233553	1.11234600482484	0.329152853666242
30	Length = 4	31011	Chunks = 2	1st	6.11539025517	1.81080858642738	0.163521861774004
31	Length = 2	31012	Chunks = 2	1st	1.75810120748	0.55775533079258	0.576213922325585
32	Length = 3	31012	Chunks = 2	1st	2.72639563805	1.00298045775795	0.366784624375071
33	Length = 4	31012	Chunks = 2	1st	4.597504493795	1.24200481615447	0.383469198825668
34	Length = 2	31013	Chunks = 2	1st	1.9499510226	0.667804255644843	0.512833393459613
35	Length = 3	31013	Chunks = 2	1st	1.800385379785	0.587999338410325	0.555438195702212
36	Length = 4	31013	Chunks = 2	1st	5.04940294482	1.61927000754918	0.198043216381823
37	Length = 2	31014	Chunks = 2	1st	2.414030945875	0.877202810633543	0.417651603128143
38	Length = 3	31014	Chunks = 2	1st	3.76670856896	1.32594656905824	0.265619199524662
39	Length = 4	31014	Chunks = 2	1st	7.37898402801	1.99732976018774	0.135874507687667
40	Length = 2	31015	Chunks = 2	1st	1.5900760853	0.443260501451485	0.655249542211608
41	Length = 3	31015	Chunks = 2	1st	2.24482677043	0.808602315775395	0.445491872526079
42	Length = 4	31015	Chunks = 2	1st	4.42813927519	1.48789429072354	0.225866962667839
43	Length = 2	31016	Chunks = 2	1st	1.81954833012	0.598588300025632	0.549586940586541
44	Length = 3	31016	Chunks = 2	1st	3.974919167185	1.37975999207419	0.251700454392571
45	Length = 4	31016	Chunks = 2	1st	8.2261352028	2.10731630570526	0.121563769053981
46	Length = 2	31017	Chunks = 2	1st	0.9748675134905	-0.0254887128238879	1.02585224415285
47	Length = 3	31017	Chunks = 2	1st	1.30345236562	0.265016410279119	0.767193360015377
48	Length = 4	31017	Chunks = 2	1st	4.51895582804	1.50818183972696	0.221333929690509
49	Length = 2	31018	Chunks = 2	1st	1.589758283725	0.462231807467232	0.630727330235338
50	Length = 3	31018	Chunks = 2	1st	2.49637455332	0.907122261581433	0.406811631522159
51	Length = 4	31018	Chunks = 2	1st	4.093814710435	1.40923980215476	0.244386967663916
52	Length = 2	31019	Chunks = 2	1st	1.0877970883735	0.0774949172811077	0.931615406735871
53	Length = 3	31019	Chunks = 2	1st	1.89498785805	0.637571851624407	0.529442203911043
54	Length = 4	31019	Chunks = 2	1st	4.46816119738	1.49697695875221	0.223805712422903
55	Length = 2	31020	Chunks = 2	1st	2.38923358348	0.870883903254525	0.418618544645587
56	Length = 3	31020	Chunks = 2	1st	5.68574119289	1.73796149564172	0.175878564654068
57	Length = 4	31020	Chunks = 2	1st	6.98992140169	1.94446931178908	0.143063125110137
58	Length = 2	31021	Chunks = 2	1st	1.25580055721	0.227773263406963	0.796304790803478
59	Length = 3	31021	Chunks = 2	1st	2.339993021715	0.850146867399537	0.42735262469053
60	Length = 4	31021	Chunks = 2	1st	2.829568309565	1.04009141887247	0.353433942371383
61	Length = 2	31022	Chunks = 2	1st	3.87822670138	1.35537801343572	0.257849805336075
62	Length = 3	31022	Chunks = 2	1st	4.876032422965	1.58431931719105	0.205089917658826
63	Length = 4	31022	Chunks = 2	1st	9.460147284415	2.24651019101341	0.105828816400653
64	Length = 2	31023	Chunks = 2	1st	2.488212005075	0.86336558464848	0.442565507028946
65	Length = 3	31023	Chunks = 2	1st	4.04511519223	1.39751002778853	0.247211748609987
66	Length = 4	31023	Chunks = 2	1st	5.75834216699	1.75064961504928	0.173661093939946
67	Length = 2	31024	Chunks = 2	1st	1.752938030915	0.558086978154649	0.574140751356084
68	Length = 3	31024	Chunks = 2	1st	2.122036990445	0.752136190922579	0.471471836722816
69	Length = 4	31024	Chunks = 2	1st	6.45420675352	1.86473212805933	0.154937707791065
70	Length = 2	31025	Chunks = 2	1st	1.01666391204	0.0165265924786875	0.9836092224356
71	Length = 3	31025	Chunks = 2	1st	1.8339350724	0.606463971026576	0.545275574391703
72	Length = 4	31025	Chunks = 2	1st	7.046983725165	1.93537736180727	0.146877695965513
73	Length = 2	31026	Chunks = 2	1st	1.01527485606	0.0151593699834164	0.984954954839247
74	Length = 3	31026	Chunks = 2	1st	2.196905377925	0.786934434647225	0.455290707903399
75	Length = 4	31026	Chunks = 2	1st	5.705110796695	1.74135992448483	0.175282302989503
76	Length = 2	31027	Chunks = 2	1st	1.47915460022	0.391470708502405	0.676061853068818
77	Length = 3	31027	Chunks = 2	1st	2.13738446393	0.759582868405345	0.467861546144723
78	Length = 4	31027	Chunks = 2	1st	4.63132082167	1.5219116463712	0.220693329454533
79	Length = 2	31028	Chunks = 2	1st	1.02319207991	0.0229272307423738	0.977333601026271
80	Length = 3	31028	Chunks = 2	1st	1.15762757656	0.146118017315077	0.864275827447502
81	Length = 4	31028	Chunks = 2	1st	4.10802515258	1.41274589989984	0.243521660662376
82	Length = 2	31002	Chunks = 2	2nd	1.502019591615	0.406467643585476	0.666227090237096
83	Length = 2	31003	Chunks = 2	2nd	0.9268794110555	-0.0759950699267421	1.0790255149163
84	Length = 2	31004	Chunks = 2	2nd	0.7000446215825	-0.356894640745122	1.42929037613358
85	Length = 2	31005	Chunks = 2	2nd	2.568275250475	0.9424907488595	0.389946030459789
86	Length = 2	31006	Chunks = 2	2nd	1.40000061595	0.336472676585402	0.714285400025648
87	Length = 2	31007	Chunks = 2	2nd	1.55828726372	0.443528790141617	0.641805314299575
88	Length = 2	31008	Chunks = 2	2nd	1.3833421219	0.324502398735039	0.722886973633475
89	Length = 2	31009	Chunks = 2	2nd	1.15446688137	0.143638662843995	0.866200682009435
90	Length = 2	31010	Chunks = 2	2nd	0.989860295028	-0.0110210765188384	1.01192118873942
91	Length = 2	31011	Chunks = 2	2nd	1.41919966432	0.349652403932546	0.705243806014251
92	Length = 2	31012	Chunks = 2	2nd	1.54351925643	0.43406504070344	0.647870116186886
93	Length = 2	31013	Chunks = 2	2nd	1.39038881292	0.32695878570414	0.723008614573257
94	Length = 2	31014	Chunks = 2	2nd	1.88842499285	0.63574314453675	0.529541815950448
95	Length = 2	31015	Chunks = 2	2nd	1.33952113264	0.292298529467329	0.746555832419656
96	Length = 2	31016	Chunks = 2	2nd	1.930143439535	0.657588706327075	0.518102027673784
97	Length = 2	31017	Chunks = 2	2nd	1.06208037096	0.0602295988263023	0.941548330373636
98	Length = 2	31018	Chunks = 2	2nd	1.764287346615	0.567399371659797	0.56719512191366
99	Length = 2	31019	Chunks = 2	2nd	1.25071646273	0.215781377370217	0.812331965839169
100	Length = 2	31020	Chunks = 2	2nd	2.456051760995	0.898471369886104	0.407225719303642
101	Length = 2	31021	Chunks = 2	2nd	1.48337026034	0.394316701811409	0.6741405209046
102	Length = 2	31022	Chunks = 2	2nd	2.74201547852	1.00869322609866	0.364695242544637
103	Length = 2	31023	Chunks = 2	2nd	2.22248998317	0.798628181385642	0.449945784940579
104	Length = 2	31024	Chunks = 2	2nd	1.879743098805	0.626751801669385	0.536671831714067
105	Length = 2	31025	Chunks = 2	2nd	0.845224737648	-0.168215798428079	1.1832665440557
106	Length = 2	31026	Chunks = 2	2nd	1.431685028675	0.358116336621234	0.699506228331654
107	Length = 2	31027	Chunks = 2	2nd	1.580128338605	0.457386407793696	0.633011464971913
108	Length = 2	31028	Chunks = 2	2nd	1.031625324888	0.0304311252724524	0.97071078606879
109	Length = 3	31002	Chunks = 3	2nd	2.260398655475	0.814335370891369	0.443468037843274
