operationc	operationb	operationa	correctresponse	valuey	operationd	condition	valuex	Rule	Operatora	Length	Intermediate	CorrectResponse	Result	Y	X	Operatorc	Operatorb	Operatord	Structure	practice_trials.thisRepN	practice_trials.thisTrialN	practice_trials.thisN	practice_trials.thisIndex	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	practice_encoding.keys	practice_encoding.rt	practice_execution.keys	practice_execution.corr	practice_execution.rt	encoding.keys	encoding.rt	execution.keys	execution.corr	execution.rt	date	frameRate	expName	session	participant	X.1	LogEncoding	EncodingSpeed	LogExecution	ExecutionSpeed	Chunks	Offset
1				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	0	0	4			NA	NA	NA	space	2.4305004871	6	1	4.40728784449	2015_Jul_08_1336	357.524927026	KRITL	1	31010	NA	0.888097197914791	0.4114378932683	1.48325949901848	0.226896911498577	Chunks = 2	3rd
2				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	0	0	4			NA	NA	NA	space	2.61655043042	6	1	5.01636523718	2015_Jul_08_1336	60.0051538288	KRITL	1	31008	NA	0.961856820644002	0.382182582217413	1.6127056151096	0.199347526090855	Chunks = 2	3rd
3				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	0	0	4			NA	NA	NA	space	5.27302366	6	1	2.70150494797	2015_Jul_17_1555	None	KRITL	1	31020	NA	1.66260394754756	0.189644512234182	0.993809005864252	0.37016404532275	Chunks = 2	3rd
5				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	3	3	4				NA	NA	space	3.29777692698	6	1	5.82329468921	2015_Jul_09_1334	None	KRITL	1	31014	NA	1.19324858297169	0.303234579579574	1.76186619937284	0.171724093210138	Chunks = 2	3rd
6				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	3	3	4			NA	NA	NA	space	1.20367978314	6	1	2.51910531449	2015_Jul_07_1404	None	KRITL	1	31003	NA	0.185383350665595	0.83078574053253	0.923903804551324	0.39696633334381	Chunks = 2	3rd
8				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	4	4	4				NA	NA	space	3.36578649993	6	1	3.47578243687	2015_Jul_09_1534	None	KRITL	1	31015	NA	1.21366166533449	0.297107377434902	1.24581961536088	0.287705004027961	Chunks = 2	3rd
9				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	4	4	4			NA	NA	NA	space	2.09463047533	6	1	2.88546150213	2015_Jul_14_1533	283.057880698	KRITL	1	31021	NA	0.739377153725906	0.477411176710037	1.05968485324311	0.346565011961455	Chunks = 2	3rd
10				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	5	5	4			NA	NA	NA	space	5.56967755413	6	1	6.44905039159	2015_Jul_09_1535	None	KRITL	1	31016	NA	1.71733716252025	0.179543607377861	1.86393289385878	0.155061588804465	Chunks = 2	3rd
12				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	7	7	4				NA	NA	space	1.14091082825	6	1	4.88591326296	2015_Jul_09_1535	360.822427182	KRITL	1	31017	NA	0.131826915547187	0.876492689208553	1.58635622052079	0.204670027112634	Chunks = 2	3rd
13				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	7	7	4			NA	NA	NA	space	2.01360902991	6	1	5.85353853327	2015_Jul_08_1558	None	KRITL	1	31013	NA	0.699928649289581	0.496620736769688	1.76704635586117	0.170836835585221	Chunks = 2	3rd
14				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	8	8	4			NA	NA	NA	space	1.15000891406	6	1	2.76657097893	2015_Jul_07_1404	60.0082342211	KRITL	1	31004	NA	0.139769693701639	0.869558477133532	1.01760863960742	0.361458284503064	Chunks = 2	3rd
15				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	9	9	4				NA	NA	space	4.00976919639	6	1	3.60411394631	2015_Jul_07_1543	None	KRITL	1	31007	NA	1.38873368265203	0.249390912798747	1.28207595586949	0.277460705986788	Chunks = 2	3rd
16				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	10	10	4				NA	NA	space	2.61197051838	6	1	3.19193919441	2015_Jul_16_1335	360.287380426	KRITL	1	31025	NA	0.960104924359675	0.382852713291811	1.16062863003582	0.313289175981575	Chunks = 2	3rd
17				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	10	10	4			NA	NA	NA	space	1.97120395489	6	1	3.57388131547	2015_Jul_13_1550	287.784491609	KRITL	1	31019	NA	0.678644500691293	0.507304176982439	1.27365220842703	0.279807836838726	Chunks = 2	3rd
19				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	11	11	4				NA	NA	space	2.2829535238	6	1	3.07683938183	2015_Jul_16_1551	None	KRITL	1	31026	NA	0.825470009828396	0.43802906610884	1.1239028953772	0.325008840534677	Chunks = 2	3rd
21				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	12	12	4				NA	NA	space	1.62491360307	6	1	4.09730350581	2015_Jul_08_1553	None	KRITL	1	31011	NA	0.485454647026729	0.61541733548828	1.41032907583315	0.244062954716924	Chunks = 2	3rd
22				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	12	12	4			NA	NA	NA	space	1.01167793141	6	1	4.58698989761	2015_Jul_22_1134	281.773905697	KRITL	1	31028	NA	0.0116102706182628	0.988456868488053	1.52322401321671	0.218007892391705	Chunks = 2	3rd
23				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	12	12	4			NA	NA	NA	space	2.93243880915	6	1	9.31850041046	2015_Jul_07_1404	360.230878236	KRITL	1	31002	NA	1.07583443488277	0.341013083335185	2.23200171558644	0.107313404083505	Chunks = 2	3rd
24				NA	NA		NA	NA	('ADD', 'DECREASE', 'HALF', 'x', 'y')	decrease	Length = 3	(3, 2, 6)	6	6	4	6	half	ADD	0	BUUxy	NA	NA	NA	NA	0	12	12	4			NA	NA	NA	space	7.30325731862	6	1	5.14361171555	2015_Jul_14_1534	340.004537469	KRITL	1	31022	NA	1.98832045666328	0.136925204244201	1.63775550110616	0.194415919260941	Chunks = 2	3rd
