Length	Participant	Chunks	execution.rt
1	Length = 2	31002	Chunks = 2	2.629170626065
2	Length = 3	31002	Chunks = 2	4.3144970713825
3	Length = 4	31002	Chunks = 2	7.24982180577
4	Length = 2	31003	Chunks = 2	2.038152097795
5	Length = 3	31003	Chunks = 2	3.3657999734725
6	Length = 4	31003	Chunks = 2	4.9290920474225
7	Length = 2	31004	Chunks = 2	1.34582851559
8	Length = 3	31004	Chunks = 2	2.45410282399
9	Length = 4	31004	Chunks = 2	3.69147832243
10	Length = 2	31005	Chunks = 2	2.7309166663475
11	Length = 3	31005	Chunks = 2	6.20784733613
12	Length = 4	31005	Chunks = 2	8.2762624845075
13	Length = 2	31006	Chunks = 2	3.31652131005
14	Length = 3	31006	Chunks = 2	4.8913451763025
15	Length = 4	31006	Chunks = 2	6.42875783658
16	Length = 2	31007	Chunks = 2	1.9098498976875
17	Length = 3	31007	Chunks = 2	3.296955135885
18	Length = 4	31007	Chunks = 2	4.791363701425
19	Length = 2	31008	Chunks = 2	1.891650153135
20	Length = 3	31008	Chunks = 2	3.2956749235825
21	Length = 4	31008	Chunks = 2	4.3914305527
22	Length = 2	31009	Chunks = 2	2.37692265562
23	Length = 3	31009	Chunks = 2	4.0609512147425
24	Length = 4	31009	Chunks = 2	6.55788186002
25	Length = 2	31010	Chunks = 2	2.1536941040675
26	Length = 3	31010	Chunks = 2	3.95085286854
27	Length = 4	31010	Chunks = 2	4.6870476492975
28	Length = 2	31011	Chunks = 2	2.191096277765
29	Length = 3	31011	Chunks = 2	3.9043337051175
30	Length = 4	31011	Chunks = 2	5.401549492885
31	Length = 2	31012	Chunks = 2	1.9341460689675
32	Length = 3	31012	Chunks = 2	3.38273836022
33	Length = 4	31012	Chunks = 2	6.70534904339725
34	Length = 2	31013	Chunks = 2	2.927114330625
35	Length = 3	31013	Chunks = 2	5.1664570677125
36	Length = 4	31013	Chunks = 2	6.76788558364
37	Length = 2	31014	Chunks = 2	2.022556108755
38	Length = 3	31014	Chunks = 2	3.7553826133225
39	Length = 4	31014	Chunks = 2	5.2710002586175
40	Length = 2	31015	Chunks = 2	1.67560878559
41	Length = 3	31015	Chunks = 2	2.6393534832175
42	Length = 4	31015	Chunks = 2	4.131562186005
43	Length = 2	31016	Chunks = 2	2.2059658449625
44	Length = 3	31016	Chunks = 2	3.241546719595
45	Length = 4	31016	Chunks = 2	7.073055926625
46	Length = 2	31017	Chunks = 2	2.6578809412775
47	Length = 3	31017	Chunks = 2	4.34630469825
48	Length = 4	31017	Chunks = 2	6.0735112355625
49	Length = 2	31018	Chunks = 2	1.83082424099
50	Length = 3	31018	Chunks = 2	3.445658895495
51	Length = 4	31018	Chunks = 2	4.80597902109
52	Length = 2	31019	Chunks = 2	1.944817233335
53	Length = 3	31019	Chunks = 2	3.15491098503
54	Length = 4	31019	Chunks = 2	4.269776698785
55	Length = 2	31020	Chunks = 2	2.30354388769
56	Length = 3	31020	Chunks = 2	4.0008915319625
57	Length = 4	31020	Chunks = 2	5.3927018965625
58	Length = 2	31021	Chunks = 2	1.844169485875
59	Length = 3	31021	Chunks = 2	2.807985099265
60	Length = 4	31021	Chunks = 2	4.1916046560475
61	Length = 2	31022	Chunks = 2	2.183580432755
62	Length = 3	31022	Chunks = 2	5.406511078495
63	Length = 4	31022	Chunks = 2	6.497239914275
64	Length = 2	31023	Chunks = 2	3.8125279752025
65	Length = 3	31023	Chunks = 2	6.6710719486375
66	Length = 4	31023	Chunks = 2	8.388038108225
67	Length = 2	31024	Chunks = 2	3.1304665608175
68	Length = 3	31024	Chunks = 2	5.8143746449975
