Length	Participant	Chunks	Offset	execution.rt
1	Length = 2	31002	Chunks = 2	1st	2.22126248087
2	Length = 3	31002	Chunks = 2	1st	4.334776395755
3	Length = 4	31002	Chunks = 2	1st	6.64440644641
4	Length = 2	31003	Chunks = 2	1st	2.122331406555
5	Length = 3	31003	Chunks = 2	1st	3.118080590005
6	Length = 4	31003	Chunks = 2	1st	4.796738771725
7	Length = 2	31004	Chunks = 2	1st	1.32502370522
8	Length = 3	31004	Chunks = 2	1st	2.27495600292
9	Length = 4	31004	Chunks = 2	1st	3.49983472222
10	Length = 2	31005	Chunks = 2	1st	2.59444236994
11	Length = 3	31005	Chunks = 2	1st	5.82132929429
12	Length = 4	31005	Chunks = 2	1st	9.21910653623
13	Length = 2	31006	Chunks = 2	1st	3.46650695517
14	Length = 3	31006	Chunks = 2	1st	4.383026793825
15	Length = 4	31006	Chunks = 2	1st	5.70799540645
16	Length = 2	31007	Chunks = 2	1st	2.05314841794
17	Length = 3	31007	Chunks = 2	1st	3.20729944275
18	Length = 4	31007	Chunks = 2	1st	4.579154813155
19	Length = 2	31008	Chunks = 2	1st	2.09995883453
20	Length = 3	31008	Chunks = 2	1st	3.141536289405
21	Length = 4	31008	Chunks = 2	1st	4.25811238408
22	Length = 2	31009	Chunks = 2	1st	2.4010982204
23	Length = 3	31009	Chunks = 2	1st	3.375106257665
24	Length = 4	31009	Chunks = 2	1st	5.76199053628
25	Length = 2	31010	Chunks = 2	1st	2.00586680755
26	Length = 3	31010	Chunks = 2	1st	3.8311403096
27	Length = 4	31010	Chunks = 2	1st	5.19175854692
28	Length = 2	31011	Chunks = 2	1st	2.3260612343
29	Length = 3	31011	Chunks = 2	1st	3.907290973675
30	Length = 4	31011	Chunks = 2	1st	5.34558107908
31	Length = 2	31012	Chunks = 2	1st	1.845807670685
32	Length = 3	31012	Chunks = 2	1st	3.3508486083
33	Length = 4	31012	Chunks = 2	1st	5.8849195499645
34	Length = 2	31013	Chunks = 2	1st	2.63196300466
35	Length = 3	31013	Chunks = 2	1st	4.479375602155
36	Length = 4	31013	Chunks = 2	1st	6.67577808256
37	Length = 2	31014	Chunks = 2	1st	2.25892310636
38	Length = 3	31014	Chunks = 2	1st	4.165599394705
39	Length = 4	31014	Chunks = 2	1st	5.015429714915
40	Length = 2	31015	Chunks = 2	1st	1.614082271215
41	Length = 3	31015	Chunks = 2	1st	2.565345477485
42	Length = 4	31015	Chunks = 2	1st	4.59832592054
43	Length = 2	31016	Chunks = 2	1st	2.124219012735
44	Length = 3	31016	Chunks = 2	1st	3.3300708571
45	Length = 4	31016	Chunks = 2	1st	6.23816064795
46	Length = 2	31017	Chunks = 2	1st	2.318046669625
47	Length = 3	31017	Chunks = 2	1st	4.26241961581
48	Length = 4	31017	Chunks = 2	1st	5.37317498485
49	Length = 2	31018	Chunks = 2	1st	1.75485355603
50	Length = 3	31018	Chunks = 2	1st	3.66986055005
51	Length = 4	31018	Chunks = 2	1st	4.73011988699
52	Length = 2	31019	Chunks = 2	1st	2.162887702665
53	Length = 3	31019	Chunks = 2	1st	2.75126853012
54	Length = 4	31019	Chunks = 2	1st	4.17185271718
55	Length = 2	31020	Chunks = 2	1st	2.283827382605
56	Length = 3	31020	Chunks = 2	1st	3.64325702612
57	Length = 4	31020	Chunks = 2	1st	5.72477122012
