Subject	Chunks	encoding.rt	execution.rt	LogEncoding	EncodingSpeed
31002	C2	1.989551984	4.294217747	0.68790948	0.502625721
31003	C2	1.771449449	3.378487505	0.571794104	0.564513998
31004	C2	1.000028744	2.499909833	2.87E-05	0.999971257
31005	C2	4.827007627	6.00349981	1.573774067	0.207355328
31006	C2	2.075032859	5.016364895	0.728614144	0.483235436
31007	C2	4.009769196	3.207299443	1.388733683	0.249390913
31008	C2	2.591557385	3.316531576	0.952212496	0.385904253
31009	C2	3.173902453	3.6267328	1.154961889	0.315069544
31010	C2	2.660842918	3.846554837	0.978193875	0.376158459
31011	C2	2.825483622	3.901376437	1.038582258	0.353990581
31012	C2	2.693790115	3.407325998	0.990875908	0.371278565
31013	C2	2.323009644	4.675406771	0.842863605	0.430476043
31014	C2	4.132843688	3.852982791	1.418965714	0.241964148
31015	C2	2.378570271	2.618101588	0.866498305	0.420421697
31016	C2	4.062792898	3.225827235	1.401870643	0.2461361
31017	C2	1.303452366	4.262419616	0.26501641	0.76719336
31018	C2	2.950780436	3.356550494	1.08206969	0.338893395
31019	C2	1.741146536	3.359016162	0.554281483	0.574635622
31020	C2	5.63776015	3.884107493	1.72948685	0.177375407
31021	C2	2.336554281	2.85606282	0.848677314	0.427980642
31022	C2	5.062728988	5.207100018	1.621659334	0.197619265
31023	C2	3.623424946	7.584812775	1.287419696	0.275981983
31024	C2	1.779600349	6.932589334	0.576388816	0.561923918
31025	C2	2.035289251	3.191939194	0.710637947	0.491330655
31026	C2	2.279700088	4.00637091	0.824042876	0.438655085
31027	C2	2.065371079	4.317535515	0.725032198	0.484443492
31028	C2	1.315032926	4.010940208	0.273861704	0.760437233
31030	C2	2.287725801	6.464021654	0.820238494	0.443561524
31002	C3	2.260398655	4.293765375	0.814335371	0.443468038
31003	C3	1.42795117	3.188094214	0.356182438	0.700385623
31004	C3	0.975025262	2.70824914	-0.028259561	1.031719908
31005	C3	5.906548377	5.732324482	1.775903083	0.16935731
31006	C3	2.124947089	4.441437431	0.753370269	0.470954574
31007	C3	3.629623045	3.192315984	1.289126731	0.275511843
31008	C3	2.849871319	2.916567403	1.046846274	0.351193226
31009	C3	2.17053528	3.754646728	0.772469241	0.463029426
31010	C3	3.405451494	2.85558209	1.223923272	0.294502138
31011	C3	3.237606349	3.532579386	1.173039685	0.309980746
31012	C3	4.589391566	4.31089221	1.513666926	0.222331361
31013	C3	2.530613405	5.954638084	0.928453986	0.395167226
31014	C3	4.750378923	3.627414879	1.558134818	0.210547237
31015	C3	3.44084098	2.949760993	1.235673386	0.290651345
31016	C3	4.002669521	5.195387761	1.386954156	0.249836945
31017	C3	1.300308688	4.421361681	0.262601688	0.769048157
31018	C3	2.540258049	3.336283234	0.931262449	0.394451444
31019	C3	1.923309003	2.620549121	0.649919942	0.524246784
31020	C3	5.083996485	3.679701173	1.625759934	0.196828555
31021	C3	2.463959361	3.168733493	0.901741168	0.40587389
31022	C3	6.517385358	5.542454026	1.874473277	0.153435764
31023	C3	4.107840897	7.444345483	1.412897561	0.243436887
31024	C3	2.823797762	8.461189225	1.020241265	0.366997653
31025	C3	1.413006529	3.349989375	0.345719725	0.707710813
31026	C3	2.375826832	3.975117771	0.861521429	0.424137603
31027	C3	2.331991807	3.57872586	0.846722755	0.428817973
31028	C3	1.584037956	3.493214383	0.459977255	0.631298004
31030	C3	2.280698009	4.80603729	0.82448154	0.438462258
