operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,0,0,5,,,,,['space'],[12.023601025604876],3,0,14.7878894994,,,,,,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,1,1,4,,,,,['space'],[3.6630050305102486],3,1,6.18122156206,,,,,,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,2,2,0,,,,,['space'],[2.9271636440680595],7,1,3.39774765233,,,,,,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,3,3,3,,,,,['space'],[2.3827273246715777],8,1,6.97923810547,,,,,,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,4,4,2,,,,,['space'],[1.4701439549244242],7,1,1.94218807797,,,,,,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,5,5,1,,,,,['space'],[1.7275248573714634],8,1,3.73326060706,,,,,,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('SUBTRACT', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,2,9,0,SUBTRACT,0,BUxy,,,,,0,0,0,0,,,,,,space,2.74317138846,1,1,3.36773060798,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('INCREASE', 'TIMES', 'x', 'y')",TIMES,2,"(8, 9)",9,9,4,2,0,increase,0,UBxy,,,,,0,1,1,2,,,,,,space,1.7825287874,9,1,3.05966110417,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'HALF', 'x', 'y')",increase,4,"(4, 2, 3, 1)",1,1,2,8,SUBTRACT,third,half,UUBUxy,,,,,0,2,2,15,,,,,,space,5.12720689659,1,1,17.4612614475,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('INCREASE', 'HALF', 'TIMES', 'TRIPLE', 'x', 'y')",half,4,"(6, 12, 6, 7)",7,7,2,2,TIMES,increase,triple,UUBUxy,,,,,0,3,3,14,,,,,,space,3.65421970433,7,1,8.46868931517,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('TRIPLE', 'HALF', 'TIMES', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,2,TIMES,triple,0,UUBxy,,,,,0,4,4,9,,,,,,space,2.83603564638,9,1,5.67006128239,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('TIMES', 'THIRD', 'x', 'y')",third,2,"(1, 4)",4,4,4,3,0,TIMES,0,BUxy,,,,,0,5,5,1,,,,,,space,1.2686190298,4,1,3.91159581613,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",TIMES,3,"(1, 4, 8)",8,8,4,3,third,double,0,UBUxy,,,,,0,6,6,6,,,,,,space,2.00566081058,8,1,3.0308235807,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('INCREASE', 'DIVIDE', 'HALF', 'x', 'y')",DIVIDE,3,"(2, 1, 2)",2,2,2,4,half,increase,0,UBUxy,,,,,0,7,7,7,,,,,,space,1.81235249573,2,1,3.89174174548,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('INCREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(4, 2, 6, 7)",7,7,2,2,half,increase,ADD,UUUBxy,,,,,0,8,8,17,,,,,,space,2.99998117969,7,1,6.72391067124,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'ADD', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,2,triple,decrease,ADD,UUUBxy,,,,,0,9,9,16,,,,,,space,3.38203131496,6,0,4.67848594276,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",SUBTRACT,4,"(3, 4, 1, 3)",3,3,3,6,increase,triple,half,UBUUxy,,,,,0,10,10,13,,,,,,space,11.574789392,None,0,,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(2, 6)",6,6,6,8,0,triple,0,UBxy,,,,,0,11,11,3,,,,,,space,3.12989854478,6,1,6.53354619688,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('ADD', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(3, 2, 6)",6,6,4,6,half,ADD,0,BUUxy,,,,,0,12,12,4,,,,,,space,2.93243880915,6,1,9.31850041046,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('TIMES', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 2, 1, 2)",2,2,2,3,third,TIMES,double,BUUUxy,,,,,0,13,13,11,,,,,,space,6.99780897236,2,1,9.71726162266,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('DECREASE', 'HALF', 'DIVIDE', 'x', 'y')",half,3,"(4, 2, 1)",1,1,2,8,DIVIDE,decrease,0,UUBxy,,,,,0,14,14,8,,,,,,space,1.70235319037,1,1,4.26201754533,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('DECREASE', 'DIVIDE', 'TRIPLE', 'DOUBLE', 'x', 'y')",DIVIDE,4,"(6, 18, 2, 1)",1,1,9,3,triple,decrease,double,UBUUxy,,,,,0,15,15,12,,,,,,space,4.3578937391,1,1,16.0837210035,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(12, 4, 3, 1)",1,1,3,6,third,DIVIDE,double,BUUUxy,,,,,0,16,16,10,,,,,,space,4.64562566105,None,0,,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(8, 16, 7)",7,7,9,9,decrease,SUBTRACT,0,BUUxy,,,,,0,17,17,5,,,,,,space,1.8382297537,7,1,7.65317021475,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
,,,,,,,,"('ADD', 'THIRD', 'x', 'y')",third,2,"(1, 7)",7,7,6,3,0,ADD,0,BUxy,,,,,0,0,0,0,,,,,,space,1.54412698172,7,1,3.09287007511,2015_Jul_07_1404,360.230878236,KRITL,001,31002,
