operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,0,0,2,,,,,['space'],[13.039806246233638],None,0,,,,,,,2017_Apr_14_0929,None,KRITL,001,31033,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,1,1,1,,,,,['space'],[4.815576944529312],8,1,18.3069319717,,,,,,2017_Apr_14_0929,None,KRITL,001,31033,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,2,2,3,,,,,['space'],[4.800114508077968],1,0,8.17699788028,,,,,,2017_Apr_14_0929,None,KRITL,001,31033,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,3,3,5,,,,,['space'],[7.833986073557753],4,0,7.79250945165,,,,,,2017_Apr_14_0929,None,KRITL,001,31033,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,4,4,4,,,,,['space'],[6.185634629044216],7,0,7.39533484681,,,,,,2017_Apr_14_0929,None,KRITL,001,31033,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,5,5,0,,,,,['space'],[1.5792263077455573],7,1,3.97580107517,,,,,,2017_Apr_14_0929,None,KRITL,001,31033,
,,,,,,,,"('HALF', 'ADD', 'TRIPLE', 'x', 'y')",ADD,3,"(9, 12, 6)",6,6,3,3,triple,half,0,UBUxy,,,,,0,0,0,6,,,,,,space,3.57927775235,1,0,5.49333897009,2017_Apr_14_0929,None,KRITL,001,31033,
,,,,,,,,"('ADD', 'HALF', 'THIRD', 'x', 'y')",half,3,"(2, 1, 9)",9,9,8,6,third,ADD,0,BUUxy,,,,,0,1,1,4,,,,,,space,5.76305232549,9,1,4.74041528767,2017_Apr_14_0929,None,KRITL,001,31033,
,,,,,,,,"('THIRD', 'TIMES', 'DOUBLE', 'DECREASE', 'x', 'y')",TIMES,4,"(1, 2, 6, 2)",2,2,3,2,double,third,decrease,UBUUxy,,,,,0,2,2,13,,,,,,space,5.95329317386,2,1,6.50382807554,2017_Apr_14_0929,None,KRITL,001,31033,
,,,,,,,,"('INCREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 7)",7,7,3,6,DIVIDE,increase,0,UUBxy,,,,,0,3,3,8,,,,,,space,2.26176113522,3,0,5.41234062225,2017_Apr_14_0929,None,KRITL,001,31033,
