operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_encoding.rt,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,0,0,5,,,,,None,None,0,,,,,,,,2017_Apr_14_1720,None,KRITL,001,31039,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,1,1,2,,,,,['space'],7,1,[5.525569206860382],2.58413174585,,,,,,2017_Apr_14_1720,None,KRITL,001,31039,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,2,2,3,,,,,['space'],8,1,[7.611044987483183],5.66715953191,,,,,,2017_Apr_14_1720,None,KRITL,001,31039,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,3,3,1,,,,,['space'],6,0,[4.012774367001839],2.19739690161,,,,,,2017_Apr_14_1720,None,KRITL,001,31039,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,4,4,0,,,,,['space'],7,1,[13.065641250344925],1.55400303978,,,,,,2017_Apr_14_1720,None,KRITL,001,31039,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,5,5,4,,,,,['space'],3,1,[10.587095586583018],4.0205932511,,,,,,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('HALF', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(8, 16, 8)",8,8,2,9,decrease,half,0,UBUxy,,,,,0,0,0,6,,,,,,space,6.31812730341,1,0,8.75168271191,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('INCREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(4, 5)",5,5,2,8,0,increase,0,UBxy,,,,,0,1,1,3,,,,,,space,19.5100581255,None,0,,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(1, 2, 6)",6,6,2,3,SUBTRACT,triple,0,UUBxy,,,,,0,2,2,9,,,,,,space,15.08691903,9,0,3.01724375063,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",double,4,"(5, 1, 2, 6)",6,6,4,4,SUBTRACT,triple,increase,UUBUxy,,,,,0,3,3,14,,,,,,space,9.50772176925,6,1,3.26745469111,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'TRIPLE', 'x', 'y')",double,4,"(9, 10, 20, 5)",5,5,4,3,increase,DIVIDE,triple,BUUUxy,,,,,0,4,4,10,,,,,,space,6.67688256729,3,0,10.5365612098,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'TIMES', 'x', 'y')",increase,4,"(28, 14, 15, 5)",5,5,4,7,half,third,TIMES,UUUBxy,,,,,0,5,5,17,,,,,,None,,None,0,,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('HALF', 'SUBTRACT', 'DECREASE', 'TRIPLE', 'x', 'y')",SUBTRACT,4,"(15, 14, 10, 5)",5,5,4,5,decrease,half,triple,UBUUxy,,,,,0,6,6,12,,,,,,space,7.99435228933,1,0,9.87497064681,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('DECREASE', 'THIRD', 'DOUBLE', 'ADD', 'x', 'y')",third,4,"(9, 18, 6, 5)",5,5,4,5,double,decrease,ADD,UUUBxy,,,,,0,7,7,16,,,,,,space,7.81244687116,5,1,6.87156340235,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('TRIPLE', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(16, 2, 3, 9)",9,9,8,8,DIVIDE,triple,double,UUBUxy,,,,,0,8,8,15,,,,,,space,15.4959608965,3,0,7.82426338812,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,3,ADD,triple,0,UUBxy,,,,,0,9,9,8,,,,,,space,5.70332930758,9,1,2.90052008073,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(1, 2)",2,2,8,8,0,double,0,UBxy,,,,,0,10,10,2,,,,,,space,4.60703510587,2,1,3.10915780938,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(6, 18, 9)",9,9,2,7,decrease,DIVIDE,0,BUUxy,,,,,0,11,11,4,,,,,,space,5.17465697453,9,1,3.54512586611,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",increase,3,"(4, 5, 3)",3,3,2,8,half,SUBTRACT,0,BUUxy,,,,,0,12,12,5,,,,,,space,4.30253573038,3,1,3.57299450802,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'x', 'y')",DIVIDE,3,"(6, 2, 3)",3,3,3,2,triple,increase,0,UBUxy,,,,,0,13,13,7,,,,,,space,6.08470341121,3,1,3.92950405623,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'THIRD', 'x', 'y')",half,4,"(1, 2, 1, 9)",9,9,9,3,increase,TIMES,third,BUUUxy,,,,,0,14,14,11,,,,,,space,3.82727902345,4,0,4.48464797699,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'x', 'y')",triple,2,"(12, 9)",9,9,3,4,0,SUBTRACT,0,BUxy,,,,,0,15,15,1,,,,,,space,5.36531672918,1,0,2.90045218781,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('INCREASE', 'TIMES', 'TRIPLE', 'HALF', 'x', 'y')",TIMES,4,"(1, 3, 6, 7)",7,7,2,2,triple,increase,half,UBUUxy,,,,,0,16,16,13,,,,,,space,9.21917722886,6,0,7.60892630855,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('ADD', 'HALF', 'x', 'y')",half,2,"(2, 7)",7,7,5,4,0,ADD,0,BUxy,,,,,0,17,17,0,,,,,,space,4.57858482466,7,1,2.05234333797,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('TRIPLE', 'SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",SUBTRACT,4,"(3, 4, 1, 3)",3,3,3,6,increase,triple,half,UBUUxy,,,,,0,0,0,13,,,,,,space,8.92205333372,3,1,7.36520159122,2017_Apr_14_1720,None,KRITL,001,31039,
,,,,,,,,"('TRIPLE', 'HALF', 'TIMES', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,2,TIMES,triple,0,UUBxy,,,,,0,1,1,9,,,,,,space,6.20849879316,9,1,5.73635746111,2017_Apr_14_1720,None,KRITL,001,31039,
