operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,0,0,0,,,,,['space'],[3.1165283902082592],7,1,3.1832188312,,,,,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,1,1,3,,,,,['space'],[3.783141629071906],8,1,7.49954207276,,,,,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,2,2,1,,,,,['space'],[2.133283941890113],8,1,1.73336457333,,,,,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,3,3,2,,,,,['space'],[3.0665284077404067],7,1,3.66650685004,,,,,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,4,4,5,,,,,['space'],[9.216003410052508],9,1,9.59937160555,,,,,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,5,5,4,,,,,['space'],[9.899102378636599],9,0,11.9824937768,,,,,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('SUBTRACT', 'DECREASE', 'TRIPLE', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 18, 17, 8)",8,8,9,3,triple,SUBTRACT,double,BUUUxy,,,,,0,0,0,11,,,,,,None,None,0,,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'DOUBLE', 'ADD', 'DECREASE', 'x', 'y')",double,4,"(5, 12, 24, 8)",8,8,7,6,ADD,third,decrease,UUBUxy,,,,,0,1,1,14,,,,,,space,None,0,10.7490415375,,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DIVIDE', 'INCREASE', 'x', 'y')",increase,2,"(4, 2)",2,2,2,3,0,DIVIDE,0,BUxy,,,,,0,2,2,0,,,,,,space,2,1,5.13296582503,2.70000290475,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'ADD', 'x', 'y')",ADD,2,"(5, 6)",6,6,2,3,0,increase,0,UBxy,,,,,0,3,3,3,,,,,,space,6,1,5.09969479684,2.28333708376,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'DIVIDE', 'x', 'y')",triple,4,"(3, 4, 12, 6)",6,6,3,9,increase,half,DIVIDE,UUUBxy,,,,,0,4,4,16,,,,,,space,1,0,9.0661235,11.6991570429,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'DOUBLE', 'INCREASE', 'TIMES', 'x', 'y')",double,4,"(8, 9, 18, 6)",6,6,4,2,increase,third,TIMES,UUUBxy,,,,,0,5,5,17,,,,,,space,2,0,8.38276975788,11.9658607125,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'HALF', 'THIRD', 'x', 'y')",half,3,"(2, 1, 9)",9,9,8,6,third,ADD,0,BUUxy,,,,,0,6,6,4,,,,,,space,2,0,8.66608129442,7.44972127164,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
