operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_execution.rt,practice_encoding.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,0,0,4,,,,,None,6,0,17.6833799894,,,,,,,2017_Apr_21_0921,None,KRITL,001,31042,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,1,1,3,,,,,None,8,1,5.24441099574,,,,,,,2017_Apr_21_0921,None,KRITL,001,31042,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,2,2,2,,,,,['space'],7,1,2.05291902786,[9.899324605590664],,,,,,2017_Apr_21_0921,None,KRITL,001,31042,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,3,3,1,,,,,['space'],8,1,1.86211403843,[17.547880428726785],,,,,,2017_Apr_21_0921,None,KRITL,001,31042,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,4,4,0,,,,,['space'],7,1,2.8074224455,[5.214825432980433],,,,,,2017_Apr_21_0921,None,KRITL,001,31042,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,5,5,5,,,,,None,None,0,,,,,,,,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(2, 6, 8)",8,8,2,4,half,ADD,0,BUUxy,,,,,0,0,0,5,,,,,,space,7.83721273683,9,0,3.20766693004,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'HALF', 'INCREASE', 'SUBTRACT', 'x', 'y')",half,4,"(5, 6, 3, 1)",1,1,2,7,increase,third,SUBTRACT,UUUBxy,,,,,0,1,1,17,,,,,,space,11.5091191734,4,0,5.91144874028,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'DECREASE', 'x', 'y')",decrease,2,"(2, 7)",7,7,5,3,0,ADD,0,BUxy,,,,,0,2,2,0,,,,,,space,4.40087476873,7,1,2.83863603836,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'TIMES', 'x', 'y')",TIMES,2,"(9, 8)",8,8,3,3,0,decrease,0,UBxy,,,,,0,3,3,2,,,,,,space,2.83395632671,8,1,1.57593735098,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'SUBTRACT', 'DOUBLE', 'THIRD', 'x', 'y')",SUBTRACT,4,"(3, 6, 4, 3)",3,3,2,9,double,decrease,third,UBUUxy,,,,,0,4,4,13,,,,,,space,8.67664004257,7,0,14.391825763,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(18, 6, 5, 9)",9,9,4,9,third,ADD,double,BUUUxy,,,,,0,5,5,10,,,,,,space,11.1089940264,9,1,4.83889466128,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(1, 2, 7)",7,7,5,2,decrease,ADD,0,BUUxy,,,,,0,6,6,4,,,,,,space,6.45051008929,7,1,4.16616931022,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'TRIPLE', 'DOUBLE', 'DECREASE', 'x', 'y')",triple,4,"(1, 2, 6, 8)",8,8,2,2,double,ADD,decrease,BUUUxy,,,,,0,7,7,11,,,,,,space,5.04457659845,5,0,14.7417976434,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",SUBTRACT,3,"(4, 1, 2)",2,2,3,3,increase,double,0,UBUxy,,,,,0,8,8,6,,,,,,space,11.206909609,2,1,3.29979586636,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",double,4,"(1, 3, 6, 5)",5,5,3,3,TIMES,decrease,third,UUBUxy,,,,,0,9,9,14,,,,,,None,,None,0,,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'THIRD', 'ADD', 'x', 'y')",third,3,"(9, 3, 6)",6,6,4,5,ADD,double,0,UUBxy,,,,,0,10,10,8,,,,,,space,6.41220448643,6,1,2.72611088038,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'x', 'y')",ADD,3,"(1, 4, 5)",5,5,3,2,half,increase,0,UBUxy,,,,,0,11,11,7,,,,,,space,5.36742910882,5,1,5.65289886994,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'TRIPLE', 'SUBTRACT', 'DOUBLE', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,3,3,SUBTRACT,decrease,double,UUBUxy,,,,,0,12,12,15,,,,,,space,7.79820720712,8,1,4.35748419655,2017_Apr_21_0921,None,KRITL,001,31042,
