operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_encoding.rt,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,0,0,5,,,,,None,None,0,,,,,,,,2017_Apr_28_0915,None,KRITL,001,31047,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,1,1,0,,,,,['space'],7,1,[9.831680753268301],4.22814284498,,,,,,2017_Apr_28_0915,None,KRITL,001,31047,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,2,2,1,,,,,['space'],8,1,[6.552284186007455],1.5737813178,,,,,,2017_Apr_28_0915,None,KRITL,001,31047,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,3,3,2,,,,,['space'],7,1,[4.8334046674426645],1.9217235921,,,,,,2017_Apr_28_0915,None,KRITL,001,31047,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,4,4,4,,,,,['space'],3,1,[11.245120913721621],7.51305166748,,,,,,2017_Apr_28_0915,None,KRITL,001,31047,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,5,5,3,,,,,['space'],8,1,[13.208133752690628],12.0033988333,,,,,,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(6, 2, 1, 2)",2,2,2,3,third,TIMES,double,BUUUxy,,,,,0,0,0,11,,,,,,None,None,0,,,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(4, 2, 6, 7)",7,7,2,2,half,increase,ADD,UUUBxy,,,,,0,1,1,17,,,,,,space,7,1,8.78220938868,8.06812435295,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'DECREASE', 'HALF', 'x', 'y')",decrease,3,"(3, 2, 6)",6,6,4,6,half,ADD,0,BUUxy,,,,,0,2,2,4,,,,,,space,6,1,9.36141372169,3.48475861875,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,2,9,0,SUBTRACT,0,BUxy,,,,,0,3,3,0,,,,,,space,1,1,16.3849395842,8.51602564659,2017_Apr_28_0915,None,KRITL,001,31047,
