operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,0,0,5,,,,,['space'],[3.152227815029619],9,1,7.07606631248,,,,,,2017_May_05_0907,None,KRITL,001,31049,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,1,1,3,,,,,['space'],[2.336474838848517],8,1,3.31812345381,,,,,,2017_May_05_0907,None,KRITL,001,31049,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,2,2,1,,,,,['space'],[2.152516534901224],8,1,1.90736571639,,,,,,2017_May_05_0907,None,KRITL,001,31049,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,3,3,2,,,,,['space'],[0.9084443038373138],7,1,2.13191978417,,,,,,2017_May_05_0907,None,KRITL,001,31049,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,4,4,4,,,,,['space'],[1.6423691687741666],3,1,4.16493218933,,,,,,2017_May_05_0907,None,KRITL,001,31049,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,5,5,0,,,,,['space'],[2.0465384937051567],7,1,1.66563964051,,,,,,2017_May_05_0907,None,KRITL,001,31049,
,,,,,,,,"('TIMES', 'THIRD', 'x', 'y')",third,2,"(1, 4)",4,4,4,3,0,TIMES,0,BUxy,,,,,0,0,0,1,,,,,,space,1.94874224874,4,1,2.61227440916,2017_May_05_0907,None,KRITL,001,31049,
,,,,,,,,"('INCREASE', 'HALF', 'TIMES', 'TRIPLE', 'x', 'y')",half,4,"(6, 12, 6, 7)",7,7,2,2,TIMES,increase,triple,UUBUxy,,,,,0,1,1,14,,,,,,space,2.018850083,7,1,14.4856142262,2017_May_05_0907,None,KRITL,001,31049,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'ADD', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,2,triple,decrease,ADD,UUUBxy,,,,,0,2,2,16,,,,,,space,2.13126990199,5,1,3.25313348552,2017_May_05_0907,None,KRITL,001,31049,
,,,,,,,,"('TRIPLE', 'HALF', 'TIMES', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,2,TIMES,triple,0,UUBxy,,,,,0,3,3,9,,,,,,space,1.12817937449,9,1,5.44377119248,2017_May_05_0907,None,KRITL,001,31049,
