operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_execution.rt,practice_encoding.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,0,0,4,,,,,None,3,1,4.941268984,,,,,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,1,1,2,,,,,['space'],7,1,2.01784527558,[13.479573577875271],,,,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,2,2,5,,,,,['space'],9,1,5.00045145117,[17.800611454062164],,,,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,3,3,1,,,,,['space'],8,1,1.77886234992,[3.867586880689487],,,,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,4,4,0,,,,,['space'],7,1,1.18864365481,[3.4704080664087087],,,,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,5,5,3,,,,,None,7,0,10.2415390499,,,,,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('THIRD', 'HALF', 'INCREASE', 'SUBTRACT', 'x', 'y')",half,4,"(5, 6, 3, 1)",1,1,2,7,increase,third,SUBTRACT,UUUBxy,,,,,0,0,0,17,,,,,,None,None,0,,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'THIRD', 'ADD', 'x', 'y')",third,3,"(9, 3, 6)",6,6,4,5,ADD,double,0,UUBxy,,,,,0,1,1,8,,,,,,space,None,0,6.23288658331,,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",SUBTRACT,3,"(4, 1, 2)",2,2,3,3,increase,double,0,UBUxy,,,,,0,2,2,6,,,,,,space,2,1,7.53983497899,3.61772222864,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('DECREASE', 'DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",double,4,"(1, 3, 6, 5)",5,5,3,3,TIMES,decrease,third,UUBUxy,,,,,0,3,3,14,,,,,,space,5,1,17.7825887478,4.76980217686,2017_May_26_0943,257.490651699,KRITL,004,31057,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'x', 'y')",ADD,3,"(1, 4, 5)",5,5,3,2,half,increase,0,UBUxy,,,,,0,4,4,7,,,,,,space,5,1,8.96548287268,2.55090883444,2017_May_26_0943,257.490651699,KRITL,004,31057,
