operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
0,decrease,TIMES,8,3,0,2,3,,,,,,,,,,,,,0,0,0,1,,,,,['space'],[5.646423845668323],8,1,11.0260561811,,,,,,2017_Jun_02_0911,None,KRITL,001,31059,
increase,DIVIDE,triple,3,3,0,3,2,,,,,,,,,,,,,0,1,1,4,,,,,['space'],[13.119189512566663],3,1,6.31360577524,,,,,,2017_Jun_02_0911,None,KRITL,001,31059,
0,ADD,decrease,7,5,0,2,3,,,,,,,,,,,,,0,2,2,0,,,,,['space'],[2.6801862225402147],7,1,3.91201428138,,,,,,2017_Jun_02_0911,None,KRITL,001,31059,
increase,DIVIDE,double,9,8,triple,4,8,,,,,,,,,,,,,0,3,3,5,,,,,['space'],[6.1045627888524905],3,0,18.3583024112,,,,,,2017_Jun_02_0911,None,KRITL,001,31059,
0,ADD,half,7,5,0,2,4,,,,,,,,,,,,,0,4,4,2,,,,,['space'],[3.071832804242149],7,1,1.9732998861,,,,,,2017_Jun_02_0911,None,KRITL,001,31059,
ADD,triple ,half,8,2,0,3,4,,,,,,,,,,,,,0,5,5,3,,,,,['space'],[5.725058540236205],8,1,12.1964691484,,,,,,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,3,ADD,triple,0,UUBxy,,,,,0,0,0,8,,,,,,space,3.83532293397,9,1,3.87307804427,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('INCREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(4, 5)",5,5,2,8,0,increase,0,UBxy,,,,,0,1,1,3,,,,,,space,1.78379186138,5,1,1.9520837001,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(1, 2, 6)",6,6,2,3,SUBTRACT,triple,0,UUBxy,,,,,0,2,2,9,,,,,,space,5.55755096965,6,1,3.04573847726,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DECREASE', 'THIRD', 'DOUBLE', 'ADD', 'x', 'y')",third,4,"(9, 18, 6, 5)",5,5,4,5,double,decrease,ADD,UUUBxy,,,,,0,3,3,16,,,,,,space,10.1961237345,7,0,16.5970576471,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(1, 2)",2,2,8,8,0,double,0,UBxy,,,,,0,4,4,2,,,,,,space,2.99633378256,2,1,3.84291084227,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('TRIPLE', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(16, 2, 3, 9)",9,9,8,8,DIVIDE,triple,double,UUBUxy,,,,,0,5,5,15,,,,,,None,,None,0,,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'x', 'y')",triple,2,"(12, 9)",9,9,3,4,0,SUBTRACT,0,BUxy,,,,,0,6,6,1,,,,,,space,2.54023267678,9,1,6.61427550029,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('ADD', 'HALF', 'x', 'y')",half,2,"(2, 7)",7,7,5,4,0,ADD,0,BUxy,,,,,0,7,7,0,,,,,,space,1.25104105391,7,1,1.8818376303,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",double,4,"(5, 1, 2, 6)",6,6,4,4,SUBTRACT,triple,increase,UUBUxy,,,,,0,8,8,14,,,,,,space,6.0668213272,6,1,5.89318974561,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",increase,3,"(4, 5, 3)",3,3,2,8,half,SUBTRACT,0,BUUxy,,,,,0,9,9,5,,,,,,space,2.88329382823,3,1,5.78331171151,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('HALF', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(8, 16, 8)",8,8,2,9,decrease,half,0,UBUxy,,,,,0,10,10,6,,,,,,space,3.31872714078,8,1,3.9580726251,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'TIMES', 'x', 'y')",increase,4,"(28, 14, 15, 5)",5,5,4,7,half,third,TIMES,UUUBxy,,,,,0,11,11,17,,,,,,space,3.33608567948,5,1,9.57120829436,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'THIRD', 'x', 'y')",half,4,"(1, 2, 1, 9)",9,9,9,3,increase,TIMES,third,BUUUxy,,,,,0,12,12,11,,,,,,space,8.69242409547,4,0,11.6826846118,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'x', 'y')",DIVIDE,3,"(6, 2, 3)",3,3,3,2,triple,increase,0,UBUxy,,,,,0,13,13,7,,,,,,space,5.10626746097,3,1,8.2610878055,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('INCREASE', 'TIMES', 'TRIPLE', 'HALF', 'x', 'y')",TIMES,4,"(1, 3, 6, 7)",7,7,2,2,triple,increase,half,UBUUxy,,,,,0,14,14,13,,,,,,space,8.11700224085,7,1,6.50357855158,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'TRIPLE', 'x', 'y')",double,4,"(9, 10, 20, 5)",5,5,4,3,increase,DIVIDE,triple,BUUUxy,,,,,0,15,15,10,,,,,,space,7.506333814,5,1,10.5007043015,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(6, 18, 9)",9,9,2,7,decrease,DIVIDE,0,BUUxy,,,,,0,16,16,4,,,,,,space,3.66747764871,9,1,7.78329141357,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('HALF', 'SUBTRACT', 'DECREASE', 'TRIPLE', 'x', 'y')",SUBTRACT,4,"(15, 14, 10, 5)",5,5,4,5,decrease,half,triple,UBUUxy,,,,,0,17,17,12,,,,,,space,6.01709781587,5,1,7.04908517795,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(18, 6, 5, 9)",9,9,4,9,third,ADD,double,BUUUxy,,,,,0,0,0,10,,,,,,space,7.77243554639,9,1,5.40085167112,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('ADD', 'TRIPLE', 'DOUBLE', 'DECREASE', 'x', 'y')",triple,4,"(1, 2, 6, 8)",8,8,2,2,double,ADD,decrease,BUUUxy,,,,,0,1,1,11,,,,,,space,5.3494637335,8,1,5.1993808446,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DECREASE', 'TIMES', 'x', 'y')",TIMES,2,"(9, 8)",8,8,3,3,0,decrease,0,UBxy,,,,,0,2,2,2,,,,,,space,1.97576397902,8,1,2.30751501082,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DIVIDE', 'DECREASE', 'x', 'y')",decrease,2,"(8, 2)",2,2,4,9,0,DIVIDE,0,BUxy,,,,,0,3,3,1,,,,,,space,2.46538983658,2,1,2.77783758263,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('DECREASE', 'DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",double,4,"(1, 3, 6, 5)",5,5,3,3,TIMES,decrease,third,UUBUxy,,,,,0,4,4,14,,,,,,space,8.40086426982,5,1,5.86260608712,2017_Jun_02_0911,None,KRITL,001,31059,
,,,,,,,,"('INCREASE', 'HALF', 'THIRD', 'TIMES', 'x', 'y')",half,4,"(12, 4, 2, 3)",3,3,4,3,third,increase,TIMES,UUUBxy,,,,,0,5,5,16,,,,,,space,8.2621583438,3,1,3.5537192194,2017_Jun_02_0911,None,KRITL,001,31059,
